License Plate,Camera ID,Vehicle Type,Time,Date,Price
CXA7178,1,Truck,21:06:51,2024-05-22,500
BYU0497,3,Truck,17:10:58,2023-01-08,1200
OTC2851,5,Car,12:40:35,2024-10-13,900
LXW1662,1,Motorcycle,04:01:45,2024-09-09,450
YHY1423,3,Car,15:17:24,2023-04-28,1200
XAM5293,5,Bus,11:30:18,2024-11-16,1150
XKN4365,3,Motorcycle,08:40:02,2023-12-26,350
YDH3336,4,Bus,13:20:03,2024-04-03,950
SGG5739,2,Motorcycle,01:22:47,2024-01-26,800
BQX1728,5,Car,10:44:58,2024-11-12,550
LZK2155,5,Bus,22:09:33,2023-02-14,250
UAT0787,3,Bus,14:32:03,2024-01-16,500
UYU8646,4,Motorcycle,07:26:32,2023-03-25,650
IZR9616,1,Bus,10:52:40,2024-06-13,950
QPV4028,1,Car,13:56:13,2024-02-25,200
OHS4043,4,Motorcycle,06:46:29,2024-09-30,1200
FZH9485,4,Truck,17:21:22,2023-10-30,350
WMF9737,1,Bus,15:38:24,2024-07-12,350
YXV0637,1,Bus,03:35:47,2023-03-20,200
IGD3003,4,Car,07:55:29,2023-09-11,1200
FEO1605,5,Car,09:48:23,2024-02-28,350
IRD7121,2,Bus,06:49:30,2024-06-01,1150
QMU1184,2,Car,20:47:22,2023-02-20,950
OMT5757,2,Bus,20:37:31,2024-03-18,300
NMM1054,2,Car,02:19:37,2023-04-18,350
GHF5675,4,Truck,23:37:14,2023-05-17,300
TLA9167,3,Car,21:46:26,2024-12-11,1100
PMW3515,4,Car,04:01:59,2023-05-17,250
KHG1576,2,Car,16:04:18,2023-01-17,150
MUA6945,4,Truck,16:04:04,2023-02-10,1100
DAH6945,5,Motorcycle,07:36:07,2023-02-16,800
CTJ3467,5,Truck,21:16:22,2023-07-01,950
HNR3993,5,Car,22:01:09,2023-07-24,1100
DRM4827,2,Bus,22:39:42,2023-07-14,1000
XZI8433,2,Truck,17:34:10,2023-12-10,1200
OTK4113,2,Car,00:37:19,2024-04-13,1000
NCW3342,5,Car,02:31:18,2024-10-30,850
FVZ2718,2,Motorcycle,22:32:34,2023-02-09,550
GML3782,1,Truck,18:04:42,2023-12-06,900
ZIT4836,5,Bus,12:14:37,2024-09-10,650
ESA1313,3,Motorcycle,08:15:15,2024-03-17,1050
CIS2663,3,Truck,22:48:29,2024-11-08,900
BWQ6772,5,Truck,13:17:23,2023-12-05,50
ERA3079,1,Bus,02:07:39,2024-11-18,500
JLN3271,4,Truck,18:54:31,2024-10-28,800
HNN7967,4,Car,15:28:12,2023-06-22,150
RQD8867,2,Truck,16:56:51,2023-12-06,600
XCR6114,2,Car,12:00:24,2023-08-30,250
HGI3220,3,Car,02:56:59,2023-05-06,1200
VKR3353,1,Bus,12:04:39,2024-12-12,1200
IQG3716,1,Car,09:55:48,2024-05-03,1100
JER6629,4,Car,04:07:46,2024-12-25,500
MHG3138,1,Car,15:42:06,2024-11-05,1100
EPQ1861,3,Car,13:09:38,2024-02-23,850
KKL2839,1,Motorcycle,12:57:08,2024-11-16,650
JBB3298,3,Car,23:34:25,2024-11-01,50
FJB5010,2,Car,20:43:18,2023-06-16,350
EGF1682,3,Car,14:04:31,2023-04-01,700
LFA0228,1,Car,02:47:40,2023-02-05,350
JBC3636,3,Car,06:20:16,2023-08-24,500
YAC1916,4,Motorcycle,12:59:31,2024-05-18,250
NDH0656,1,Car,20:53:38,2024-02-20,900
NJJ4046,5,Truck,13:22:40,2024-05-31,500
CZU2015,2,Truck,21:09:56,2024-04-29,900
TNJ3821,5,Motorcycle,17:42:49,2024-04-30,650
RJF1130,2,Truck,15:42:39,2024-06-10,950
IWH9530,4,Car,22:28:02,2023-03-29,500
SVT7475,2,Car,23:47:10,2023-10-05,1150
UQY2319,2,Bus,00:05:23,2023-01-10,800
JIT1248,2,Truck,02:54:02,2024-07-03,650
HGR0041,2,Truck,09:20:13,2024-09-27,850
SQG8373,3,Car,23:16:53,2023-12-16,1100
UJC2733,1,Car,19:27:54,2024-02-24,500
AGW4907,3,Truck,00:35:09,2023-12-23,950
CJE9518,2,Motorcycle,13:37:44,2024-01-22,1000
DBE9603,1,Bus,17:13:06,2023-05-10,450
CCB2726,1,Car,20:47:43,2024-10-14,150
SQC7878,1,Truck,12:13:55,2023-05-20,650
GEI8598,5,Car,12:52:50,2023-06-05,700
OES4172,2,Bus,13:40:08,2024-08-21,850
AJM7553,2,Bus,05:05:41,2023-04-28,1200
EQG1663,3,Car,23:50:16,2023-10-31,50
ZWG5935,3,Truck,23:56:23,2024-01-13,1000
IPW7780,1,Truck,18:05:37,2023-11-08,450
XPG9863,4,Truck,21:50:00,2023-06-28,500
RIF3274,3,Truck,14:49:00,2023-05-27,250
JBN4200,3,Car,06:55:52,2023-08-20,750
GBJ4631,5,Motorcycle,08:55:39,2023-09-12,500
XYG7761,1,Truck,23:16:33,2023-12-27,100
HGG4042,2,Truck,22:11:13,2023-12-22,150
PTH4093,4,Motorcycle,17:42:18,2023-08-10,300
THY9851,2,Motorcycle,05:16:38,2024-12-27,950
NGJ9399,1,Bus,21:24:45,2023-09-17,200
WQC1874,4,Truck,07:23:19,2023-12-28,350
EVU0011,4,Motorcycle,12:49:22,2023-11-20,550
URG0546,2,Bus,10:33:48,2023-07-20,950
UGW5658,5,Bus,08:57:08,2024-07-17,300
AAO6503,4,Car,12:12:31,2024-04-02,850
DIM2771,3,Bus,06:29:20,2024-02-26,400
TED7331,4,Car,22:00:32,2023-03-13,900
JES7638,4,Car,20:43:51,2023-08-23,650
LCK6536,4,Truck,02:57:36,2024-07-23,400
RYF6646,4,Bus,10:46:34,2024-01-01,350
SDY0810,2,Bus,23:32:20,2024-05-14,650
ETU3215,5,Truck,14:52:40,2024-01-24,800
CST1005,5,Truck,04:31:52,2024-01-18,1050
NCI4614,3,Car,07:08:48,2024-07-22,150
NTC4695,3,Motorcycle,00:17:55,2024-02-02,600
OOA3226,3,Motorcycle,04:07:52,2024-03-28,200
XTD9750,5,Car,17:31:04,2024-10-31,150
SEW9859,1,Truck,03:48:25,2023-07-15,400
RNS0129,4,Bus,05:49:18,2023-06-02,1150
BVS7889,4,Motorcycle,08:52:50,2024-10-19,600
OTG2565,1,Bus,11:58:50,2023-05-13,100
MMM4263,5,Truck,01:46:44,2024-09-01,900
TKM5531,5,Motorcycle,18:52:23,2024-09-28,550
PQQ0779,3,Truck,09:05:47,2023-04-12,850
JPX2822,4,Bus,10:19:46,2023-10-25,1100
GXJ5449,2,Motorcycle,21:59:12,2023-08-17,450
HYV7429,2,Bus,07:11:09,2024-11-04,1050
JWM4923,2,Motorcycle,14:15:35,2023-11-23,50
BYP7719,1,Motorcycle,15:14:38,2023-12-12,50
SZN0711,4,Motorcycle,18:06:11,2024-07-05,1050
OKK3116,3,Car,14:36:34,2024-04-29,750
MAF2116,1,Bus,11:10:55,2023-11-24,400
LRU2948,1,Motorcycle,14:47:32,2024-07-10,650
CAU6133,5,Bus,23:52:39,2023-12-22,650
JIW2530,3,Truck,22:10:42,2024-06-30,350
FUT6505,4,Car,12:26:00,2023-11-10,550
ONR7957,3,Truck,23:23:42,2024-02-12,600
CKQ7184,4,Car,23:55:17,2023-10-04,750
AVM9056,1,Truck,02:23:50,2023-09-05,950
NTH6201,4,Car,15:31:50,2023-11-04,850
BAQ8780,4,Truck,17:54:04,2024-09-23,900
UCT1060,5,Motorcycle,00:35:28,2024-04-28,900
HZQ6811,1,Truck,17:56:42,2024-08-08,150
WMT7199,2,Motorcycle,05:50:33,2023-07-21,850
SGV0632,3,Car,08:43:29,2024-04-15,650
YDH8956,1,Bus,07:22:54,2023-12-12,1050
CXH6343,2,Bus,15:24:46,2023-02-02,1050
ECO4028,5,Car,05:46:17,2024-11-04,1100
MHD3820,4,Truck,06:30:26,2024-11-02,700
MHA3820,4,Truck,06:30:26,2024-03-10,700
